0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:09 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-8.png HTTP/1.1" 200 4587
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:09 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-7.png HTTP/1.1" 200 5616
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/blog.html HTTP/1.1" 200 19196
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 13916
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13775
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 63666
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 154875
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/css/style.css HTTP/1.1" 200 42292
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 894
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/php-email-form/validate.js HTTP/1.1" 200 2731
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/purecounter/purecounter.js HTTP/1.1" 200 4345
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 141251
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/js/main.js HTTP/1.1" 200 6786
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 54762
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/logo.png HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/blog/blog-1.jpg HTTP/1.1" 200 83878
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/blog/blog-2.jpg HTTP/1.1" 200 112816
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/blog/blog-3.jpg HTTP/1.1" 200 93369
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/blog/blog-4.jpg HTTP/1.1" 200 104099
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/blog/blog-recent-1.jpg HTTP/1.1" 200 83411
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/blog/blog-recent-2.jpg HTTP/1.1" 200 78239
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/blog/blog-recent-4.jpg HTTP/1.1" 200 115012
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/blog/blog-recent-3.jpg HTTP/1.1" 200 71055
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/blog/blog-recent-5.jpg HTTP/1.1" 200 93369
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/footer-bg.png HTTP/1.1" 200 10959
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?8bd4575acf83c7696dc7a14a966660a3 HTTP/1.1" 200 85044
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 428305
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:15 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/swiper/swiper-bundle.min.js.map HTTP/1.1" 404 889
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:19 +0900] "GET /WebJSP_JDBC_HomeWork/index.html HTTP/1.1" 200 59444
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:19 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 154875
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:19 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:19 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 13916
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:19 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 63666
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:19 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13775
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:19 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:19 +0900] "GET /WebJSP_JDBC_HomeWork/assets/css/style.css HTTP/1.1" 200 42292
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 894
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/php-email-form/validate.js HTTP/1.1" 200 2731
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/purecounter/purecounter.js HTTP/1.1" 200 4345
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 141251
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 54762
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/js/main.js HTTP/1.1" 200 6786
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/logo.png HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/hero-img.png HTTP/1.1" 200 22636
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/about.jpg HTTP/1.1" 200 193104
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/values-1.png HTTP/1.1" 200 20762
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/values-2.png HTTP/1.1" 200 22703
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/values-3.png HTTP/1.1" 200 20066
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/features.png HTTP/1.1" 200 55886
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/features-2.png HTTP/1.1" 200 44762
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/features-3.png HTTP/1.1" 200 33389
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/pricing-free.png HTTP/1.1" 200 6518
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/pricing-starter.png HTTP/1.1" 200 8215
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/pricing-business.png HTTP/1.1" 200 10763
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/pricing-ultimate.png HTTP/1.1" 200 8139
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/portfolio/portfolio-1.jpg HTTP/1.1" 200 82156
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/portfolio/portfolio-2.jpg HTTP/1.1" 200 100174
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/portfolio/portfolio-3.jpg HTTP/1.1" 200 12377
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/portfolio/portfolio-6.jpg HTTP/1.1" 200 25598
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/portfolio/portfolio-4.jpg HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/portfolio/portfolio-5.jpg HTTP/1.1" 200 81363
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/portfolio/portfolio-8.jpg HTTP/1.1" 200 15876
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/portfolio/portfolio-7.jpg HTTP/1.1" 200 122008
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/portfolio/portfolio-9.jpg HTTP/1.1" 200 58756
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/testimonials/testimonials-1.jpg HTTP/1.1" 200 39727
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/testimonials/testimonials-3.jpg HTTP/1.1" 200 17247
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/testimonials/testimonials-2.jpg HTTP/1.1" 200 57584
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/testimonials/testimonials-5.jpg HTTP/1.1" 200 22595
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/testimonials/testimonials-4.jpg HTTP/1.1" 200 20220
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/team/team-1.jpg HTTP/1.1" 200 40201
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/team/team-2.jpg HTTP/1.1" 200 49059
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/team/team-3.jpg HTTP/1.1" 200 36680
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/team/team-4.jpg HTTP/1.1" 200 27423
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-1.png HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-2.png HTTP/1.1" 200 4582
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-3.png HTTP/1.1" 200 4707
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-4.png HTTP/1.1" 200 9010
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-5.png HTTP/1.1" 200 5123
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-6.png HTTP/1.1" 200 3450
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-8.png HTTP/1.1" 200 4587
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-7.png HTTP/1.1" 200 5616
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/blog/blog-1.jpg HTTP/1.1" 200 83878
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/blog/blog-2.jpg HTTP/1.1" 200 112816
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/hero-bg.png HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/blog/blog-3.jpg HTTP/1.1" 200 93369
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/team-shape.svg HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/footer-bg.png HTTP/1.1" 200 10959
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?8bd4575acf83c7696dc7a14a966660a3 HTTP/1.1" 200 85044
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/remixicon/remixicon.woff2?t=1590207869815 HTTP/1.1" 200 125268
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 428305
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:25:20 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/swiper/swiper-bundle.min.js.map HTTP/1.1" 404 889
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/index.html HTTP/1.1" 200 7513
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 63666
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 154875
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 13916
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13775
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/css/style.css HTTP/1.1" 200 42292
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 894
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/php-email-form/validate.js HTTP/1.1" 200 2731
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/purecounter/purecounter.js HTTP/1.1" 200 4345
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 141251
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/js/main.js HTTP/1.1" 200 6786
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/logo.png HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 54762
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/hero-img.png HTTP/1.1" 200 22636
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/about.jpg HTTP/1.1" 200 193104
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/hero-bg.png HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?8bd4575acf83c7696dc7a14a966660a3 HTTP/1.1" 200 85044
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 428305
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/swiper/swiper-bundle.min.js.map HTTP/1.1" 404 889
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:26:13 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/favicon.png HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/index.html HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 154875
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 63666
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 13916
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13775
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/css/style.css HTTP/1.1" 200 42292
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 894
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/php-email-form/validate.js HTTP/1.1" 200 2731
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/purecounter/purecounter.js HTTP/1.1" 200 4345
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 141251
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/js/main.js HTTP/1.1" 200 6786
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 54762
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/hero-img.png HTTP/1.1" 200 22636
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/about.jpg HTTP/1.1" 200 193104
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/hero-bg.png HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?8bd4575acf83c7696dc7a14a966660a3 HTTP/1.1" 200 85044
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/swiper/swiper-bundle.min.js.map HTTP/1.1" 404 889
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 428305
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:27:58 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/favicon.png HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:28:02 +0900] "GET /WebJSP_JDBC_HomeWork/index.html HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:28:02 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:28:02 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 13916
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:28:02 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 154875
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:28:02 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 63666
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:28:02 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:28:02 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13775
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:28:02 +0900] "GET /WebJSP_JDBC_HomeWork/assets/css/style.css HTTP/1.1" 200 42292
